iter	Logloss
0	0.6772312419
1	0.6625136312
2	0.6478711955
3	0.6351940409
4	0.624685262
5	0.6152000936
6	0.6028890483
7	0.5914211528
8	0.5834100342
9	0.5737992859
10	0.563933665
11	0.5573045349
12	0.5495299784
13	0.5438439433
14	0.5370716858
15	0.5303954061
16	0.5229136149
17	0.515801239
18	0.5099721781
19	0.5043236287
20	0.4989120483
21	0.4943489075
22	0.4884839884
23	0.4843223572
24	0.480463562
25	0.4762157186
26	0.4732543945
27	0.4688722738
28	0.4651717631
29	0.4613481649
30	0.4584254456
31	0.4560029093
32	0.4534514364
33	0.4500421651
34	0.4476338196
35	0.4456262207
36	0.4421720378
37	0.4389476013
38	0.4369527181
39	0.4348266602
40	0.4316953023
41	0.4295177205
42	0.4275124105
43	0.4249567413
44	0.422730662
45	0.4206732178
46	0.4189100647
47	0.4175023397
48	0.4154750315
49	0.4140120951
50	0.412983373
51	0.4116901398
52	0.4104400126
53	0.4086194865
54	0.4072943878
55	0.4058472188
56	0.4047157796
57	0.4032582092
58	0.4018048604
59	0.4004310608
60	0.3989015198
61	0.3979399109
62	0.3966790263
63	0.3951338704
64	0.3941705831
65	0.3929312642
66	0.3915895081
67	0.390525767
68	0.3894844055
69	0.3885123698
70	0.3876379649
71	0.3868791453
72	0.3859246572
73	0.3849341329
74	0.3840792592
75	0.3830801392
76	0.3822363536
77	0.3813598633
78	0.3804473877
79	0.3795806885
80	0.3788110606
81	0.3781066386
82	0.3770613098
83	0.3761083476
84	0.3752260335
85	0.374206899
86	0.3733196513
87	0.3725699615
88	0.3719946798
89	0.3711108144
90	0.3705799357
91	0.3698891195
92	0.3692666626
93	0.3688131205
94	0.3680870565
95	0.367536672
96	0.3666464233
97	0.3660264587
98	0.3655664062
99	0.3651013947
