iter	Passed	Remaining
0	5	512
1	5	273
2	5	187
3	6	150
4	6	127
5	7	111
6	7	98
7	7	89
8	7	80
9	8	73
10	8	69
11	8	64
12	9	60
13	9	57
14	9	53
15	9	50
16	10	49
17	10	47
18	10	44
19	10	43
20	10	41
21	11	40
22	11	38
23	11	37
24	12	36
25	12	35
26	12	34
27	13	33
28	13	32
29	13	31
30	13	30
31	13	29
32	14	28
33	14	27
34	14	27
35	14	26
36	15	25
37	15	25
38	15	24
39	15	23
40	16	23
41	16	22
42	16	22
43	17	21
44	17	21
45	18	21
46	18	20
47	18	20
48	19	20
49	19	19
50	20	19
51	20	18
52	20	18
53	20	17
54	21	17
55	21	16
56	21	16
57	22	15
58	22	15
59	22	14
60	22	14
61	22	14
62	23	13
63	23	13
64	23	12
65	23	12
66	24	11
67	24	11
68	24	11
69	24	10
70	25	10
71	25	9
72	25	9
73	25	9
74	26	8
75	26	8
76	26	7
77	26	7
78	27	7
79	27	6
80	27	6
81	27	6
82	28	5
83	28	5
84	28	5
85	28	4
86	29	4
87	29	3
88	29	3
89	29	3
90	30	2
91	30	2
92	30	2
93	31	1
94	31	1
95	32	1
96	32	1
97	32	0
98	33	0
99	33	0
